Year,Сomponent of the index,Region,Age,Gender,Value
2018,social tolerance,Zaporizhzhya,61 years and older,,
2019,social tolerance,Zaporizhzhya,61 years and older,,
2020,social tolerance,Zaporizhzhya,61 years and older,,
2021,social tolerance,Zaporizhzhya,60 years and older,,
2022,social tolerance,Zaporizhzhya,60 years and older,,
2023,social tolerance,Zaporizhzhya,60 years and older,,
2017,social tolerance,Zaporizhzhya,,men,
2018,social tolerance,Zaporizhzhya,,men,
2019,social tolerance,Zaporizhzhya,,men,
2020,social tolerance,Zaporizhzhya,,men,
2021,social tolerance,Zaporizhzhya,,men,
2022,social tolerance,Zaporizhzhya,,men,
2023,social tolerance,Zaporizhzhya,,men,
2017,social tolerance,Zaporizhzhya,,women,
2018,social tolerance,Zaporizhzhya,,women,
2019,social tolerance,Zaporizhzhya,,women,
2020,social tolerance,Zaporizhzhya,,women,
2021,social tolerance,Zaporizhzhya,,women,
2022,social tolerance,Zaporizhzhya,,women,
2023,social tolerance,Zaporizhzhya,,women,
2017,social tolerance,Kharkiv,,,
2018,social tolerance,Kharkiv,,,
2019,social tolerance,Kharkiv,,,
2020,social tolerance,Kharkiv,,,
2021,social tolerance,Kharkiv,,,
2022,social tolerance,Kharkiv,,,
2023,social tolerance,Kharkiv,,,
2017,social tolerance,Kharkiv,18-35 years,,
2018,social tolerance,Kharkiv,18-35 years,,
2019,social tolerance,Kharkiv,18-35 years,,
2020,social tolerance,Kharkiv,18-35 years,,
2021,social tolerance,Kharkiv,18-35 years,,
2022,social tolerance,Kharkiv,18-35 years,,
2023,social tolerance,Kharkiv,18-35 years,,
2017,social tolerance,Kharkiv,36-60 years,,
2018,social tolerance,Kharkiv,36-60 years,,
2019,social tolerance,Kharkiv,36-60 years,,
2020,social tolerance,Kharkiv,36-60 years,,
2021,social tolerance,Kharkiv,36-59 years,,
2022,social tolerance,Kharkiv,36-59 years,,
2023,social tolerance,Kharkiv,36-59 years,,
2017,social tolerance,Kharkiv,61 years and older,,
2018,social tolerance,Kharkiv,61 years and older,,
2019,social tolerance,Kharkiv,61 years and older,,
2020,social tolerance,Kharkiv,61 years and older,,
2021,social tolerance,Kharkiv,60 years and older,,
2022,social tolerance,Kharkiv,60 years and older,,
2023,social tolerance,Kharkiv,60 years and older,,
2017,social tolerance,Kharkiv,,men,
2018,social tolerance,Kharkiv,,men,
2019,social tolerance,Kharkiv,,men,
2020,social tolerance,Kharkiv,,men,
2021,social tolerance,Kharkiv,,men,
2022,social tolerance,Kharkiv,,men,
2023,social tolerance,Kharkiv,,men,
2017,social tolerance,Kharkiv,,women,
2018,social tolerance,Kharkiv,,women,
2019,social tolerance,Kharkiv,,women,
2020,social tolerance,Kharkiv,,women,
2021,social tolerance,Kharkiv,,women,
2022,social tolerance,Kharkiv,,women,
2023,social tolerance,Kharkiv,,women,
2017,active civic position,Donetsk,,,
2018,active civic position,Donetsk,,,
2019,active civic position,Donetsk,,,
2020,active civic position,Donetsk,,,
2021,active civic position,Donetsk,,,3.7
2022,active civic position,Donetsk,,,
2023,active civic position,Donetsk,,,
2017,active civic position,Donetsk,18-35 years,,
2018,active civic position,Donetsk,18-35 years,,
2019,active civic position,Donetsk,18-35 years,,
2020,active civic position,Donetsk,18-35 years,,
2021,active civic position,Donetsk,18-35 years,,4.5
2022,active civic position,Donetsk,18-35 years,,
2023,active civic position,Donetsk,18-35 years,,
2017,active civic position,Donetsk,36-60 years,,
2018,active civic position,Donetsk,36-60 years,,
2019,active civic position,Donetsk,36-60 years,,
2020,active civic position,Donetsk,36-60 years,,
2021,active civic position,Donetsk,36-59 years,,4.1
2022,active civic position,Donetsk,36-59 years,,
2023,active civic position,Donetsk,36-59 years,,
2017,active civic position,Donetsk,61 years and older,,
2018,active civic position,Donetsk,61 years and older,,
2019,active civic position,Donetsk,61 years and older,,
2020,active civic position,Donetsk,61 years and older,,
2021,active civic position,Donetsk,60 years and older,,2.6
2022,active civic position,Donetsk,60 years and older,,
2023,active civic position,Donetsk,60 years and older,,
2017,active civic position,Donetsk,,men,
2018,active civic position,Donetsk,,men,
2019,active civic position,Donetsk,,men,
2020,active civic position,Donetsk,,men,
2021,active civic position,Donetsk,,men,4.3
2022,active civic position,Donetsk,,men,
2023,active civic position,Donetsk,,men,
2017,active civic position,Donetsk,,women,
2018,active civic position,Donetsk,,women,
2019,active civic position,Donetsk,,women,
2020,active civic position,Donetsk,,women,
2021,active civic position,Donetsk,,women,3.2
2022,active civic position,Donetsk,,women,
2023,active civic position,Donetsk,,women,
2017,active civic position,Luhansk,,,
2018,active civic position,Luhansk,,,
2019,active civic position,Luhansk,,,
2020,active civic position,Luhansk,,,
2021,active civic position,Luhansk,,,3.9
2022,active civic position,Luhansk,,,
2023,active civic position,Luhansk,,,
2017,active civic position,Luhansk,18-35 years,,
2018,active civic position,Luhansk,18-35 years,,
2019,active civic position,Luhansk,18-35 years,,
2020,active civic position,Luhansk,18-35 years,,
2021,active civic position,Luhansk,18-35 years,,4.6
2022,active civic position,Luhansk,18-35 years,,
2023,active civic position,Luhansk,18-35 years,,
2017,active civic position,Luhansk,36-60 years,,
2018,active civic position,Luhansk,36-60 years,,
2019,active civic position,Luhansk,36-60 years,,
2020,active civic position,Luhansk,36-60 years,,
2021,active civic position,Luhansk,36-59 years,,4.2
2022,active civic position,Luhansk,36-59 years,,
2023,active civic position,Luhansk,36-59 years,,
2017,active civic position,Luhansk,61 years and older,,
2018,active civic position,Luhansk,61 years and older,,
2019,active civic position,Luhansk,61 years and older,,
2020,active civic position,Luhansk,61 years and older,,
2021,active civic position,Luhansk,60 years and older,,2.9
2022,active civic position,Luhansk,60 years and older,,
2023,active civic position,Luhansk,60 years and older,,
2017,active civic position,Luhansk,,men,
2018,active civic position,Luhansk,,men,
2019,active civic position,Luhansk,,men,
2020,active civic position,Luhansk,,men,
2021,active civic position,Luhansk,,men,4.4
2022,active civic position,Luhansk,,men,
2023,active civic position,Luhansk,,men,
2017,active civic position,Luhansk,,women,
2018,active civic position,Luhansk,,women,
2019,active civic position,Luhansk,,women,
2020,active civic position,Luhansk,,women,
2021,active civic position,Luhansk,,women,3.4
2022,active civic position,Luhansk,,women,
2023,active civic position,Luhansk,,women,
2017,active civic position,Dnipropetrovsk,,,
2018,active civic position,Dnipropetrovsk,,,
2019,active civic position,Dnipropetrovsk,,,
2020,active civic position,Dnipropetrovsk,,,
2021,active civic position,Dnipropetrovsk,,,
2022,active civic position,Dnipropetrovsk,,,
2023,active civic position,Dnipropetrovsk,,,
2017,active civic position,Dnipropetrovsk,18-35 years,,
2018,active civic position,Dnipropetrovsk,18-35 years,,
2019,active civic position,Dnipropetrovsk,18-35 years,,
2020,active civic position,Dnipropetrovsk,18-35 years,,
2021,active civic position,Dnipropetrovsk,18-35 years,,
2022,active civic position,Dnipropetrovsk,18-35 years,,
2023,active civic position,Dnipropetrovsk,18-35 years,,
2017,active civic position,Dnipropetrovsk,36-60 years,,
2018,active civic position,Dnipropetrovsk,36-60 years,,
2019,active civic position,Dnipropetrovsk,36-60 years,,
2020,active civic position,Dnipropetrovsk,36-60 years,,
2021,active civic position,Dnipropetrovsk,36-59 years,,
2022,active civic position,Dnipropetrovsk,36-59 years,,
2023,active civic position,Dnipropetrovsk,36-59 years,,
2017,active civic position,Dnipropetrovsk,61 years and older,,
2018,active civic position,Dnipropetrovsk,61 years and older,,
2019,active civic position,Dnipropetrovsk,61 years and older,,
2020,active civic position,Dnipropetrovsk,61 years and older,,
2021,active civic position,Dnipropetrovsk,60 years and older,,
2022,active civic position,Dnipropetrovsk,60 years and older,,
2023,active civic position,Dnipropetrovsk,60 years and older,,
2017,active civic position,Dnipropetrovsk,,men,
2018,active civic position,Dnipropetrovsk,,men,
2019,active civic position,Dnipropetrovsk,,men,
2020,active civic position,Dnipropetrovsk,,men,
2021,active civic position,Dnipropetrovsk,,men,
2022,active civic position,Dnipropetrovsk,,men,
2023,active civic position,Dnipropetrovsk,,men,
2017,active civic position,Dnipropetrovsk,,women,
2018,active civic position,Dnipropetrovsk,,women,
2019,active civic position,Dnipropetrovsk,,women,
2020,active civic position,Dnipropetrovsk,,women,
2021,active civic position,Dnipropetrovsk,,women,
2022,active civic position,Dnipropetrovsk,,women,
2023,active civic position,Dnipropetrovsk,,women,
2017,active civic position,Zaporizhzhya,,,
2018,active civic position,Zaporizhzhya,,,
2019,active civic position,Zaporizhzhya,,,
2020,active civic position,Zaporizhzhya,,,
2021,active civic position,Zaporizhzhya,,,
2022,active civic position,Zaporizhzhya,,,
2023,active civic position,Zaporizhzhya,,,
2017,active civic position,Zaporizhzhya,18-35 years,,
2018,active civic position,Zaporizhzhya,18-35 years,,
2019,active civic position,Zaporizhzhya,18-35 years,,
2020,active civic position,Zaporizhzhya,18-35 years,,
2021,active civic position,Zaporizhzhya,18-35 years,,
2022,active civic position,Zaporizhzhya,18-35 years,,
2023,active civic position,Zaporizhzhya,18-35 years,,
2017,active civic position,Zaporizhzhya,36-60 years,,
2018,active civic position,Zaporizhzhya,36-60 years,,
2019,active civic position,Zaporizhzhya,36-60 years,,
2020,active civic position,Zaporizhzhya,36-60 years,,
2021,active civic position,Zaporizhzhya,36-59 years,,
2022,active civic position,Zaporizhzhya,36-59 years,,
2023,active civic position,Zaporizhzhya,36-59 years,,
2017,active civic position,Zaporizhzhya,61 years and older,,
2018,active civic position,Zaporizhzhya,61 years and older,,
2019,active civic position,Zaporizhzhya,61 years and older,,
2020,active civic position,Zaporizhzhya,61 years and older,,
2021,active civic position,Zaporizhzhya,60 years and older,,
2022,active civic position,Zaporizhzhya,60 years and older,,
2023,active civic position,Zaporizhzhya,60 years and older,,
2017,active civic position,Zaporizhzhya,,men,
2018,active civic position,Zaporizhzhya,,men,
2019,active civic position,Zaporizhzhya,,men,
2020,active civic position,Zaporizhzhya,,men,
2021,active civic position,Zaporizhzhya,,men,
2022,active civic position,Zaporizhzhya,,men,
2023,active civic position,Zaporizhzhya,,men,
2017,active civic position,Zaporizhzhya,,women,
2018,active civic position,Zaporizhzhya,,women,
2019,active civic position,Zaporizhzhya,,women,
2020,active civic position,Zaporizhzhya,,women,
2021,active civic position,Zaporizhzhya,,women,
2022,active civic position,Zaporizhzhya,,women,
2023,active civic position,Zaporizhzhya,,women,
2017,active civic position,Kharkiv,,,
2018,active civic position,Kharkiv,,,
2019,active civic position,Kharkiv,,,
2020,active civic position,Kharkiv,,,
2021,active civic position,Kharkiv,,,
2022,active civic position,Kharkiv,,,
2023,active civic position,Kharkiv,,,
2017,active civic position,Kharkiv,18-35 years,,
2018,active civic position,Kharkiv,18-35 years,,
2019,active civic position,Kharkiv,18-35 years,,
2020,active civic position,Kharkiv,18-35 years,,
2021,active civic position,Kharkiv,18-35 years,,
